Title,Year & Authors,Application Domain,Dataset,Architecture,Wavelet / Pooling Technique,Quantitative Results,Outcomes,Main Contribution / Innovation,Model Robustness,Limitations,Loss Function,Training Strategy,GAN Variant,Discriminator / Generator Type,Pooling Layer / Wavelet Location,Comparative Analysis,Input Size / Resolution,Baseline for Comparison,Layer Composition,Code Availability,Cross-Dataset Generalization,Complexity and Scalability,Optimization Algorithms,Training Dynamics / Regularization / Convergence,Feature Representation / Extraction,,,,,,,,,,,,,
Fault diagnosis of rolling bearing with uneven data distribution based on continuous wavelet transform and deep convolution generated adversarial network,"2021, Han et al.",Fault diagnosis (rolling bearing),CWRU dataset; Paderborn University accelerated bearing life test dataset,DCGAN,"Continuous wavelet transform (CWT) with cmor3-3 wavelet basis, applied to convert 1-D time series to 2-D time–frequency images before GAN data augmentation",CWRU: Accuracy up to 94% (balanced CWT+2DCNN); DCGAN-augmented: ~92–93%; Comparison: GAN+1DCNN up to 89.5%; Distributed SSIM (>0.75) and PSNR (>27.5) for generated images,"Proposed method effectively solves uneven data distribution in fault diagnosis; achieves higher accuracy than traditional 1D augmentation, robust even in noisy (low SNR) environments.",Novelty is the combination of CWT for image representation and DCGAN for generating high-quality and diverse 2D time–frequency images to augment minority fault classes.,"Demonstrates higher classification accuracy, stable loss/convergence, alleviated overfitting after augmentation, diversity of generated data proven by t-SNE visualization and quality metrics, works under various SNRs and across two datasets.","More computation time needed with 2DCNN and data expansion; does not address hyperparameter sensitivity, real-world non-Gaussian noise, or GAN mode collapse; code availability unspecified; not tested extensively on further unseen conditions.",Adversarial loss (GAN); Softmax cross-entropy (for CNN multi-class classification),Supervised for CNN; GAN is unsupervised; DCGAN is trained on fault samples only for augmentation,DCGAN,"Discriminator: convolutional network with BN, LeakyReLU, dropout, no pooling; Generator: dense + 4 deconvolution layers with BN and ReLU, outputs 64×64×3 images","Wavelet CWT is applied as preprocessing; pooling is via strided convolutions in GAN layers, not explicit pooling layers; max pooling appears in CNN (after convolutions in CNN)","Compared against 1DCNN, GAN+1DCNN, CNN with 2D CWT without augmentation, and other data augmentation strategies; DCGAN on 2D outperforms all baselines; Table 3, 6 detail the improvement in accuracy.",GAN input: 64×64; CNN input: 224×224×3 time–frequency images.,1DCNN; GAN+1DCNN; CWT+2DCNN (with/without DCGAN expansion),"Conv-BN-ReLU (Generator); Conv-BN-LeakyReLU-Dropout (Discriminator); CNN stacks: Conv–MaxPool–ReLU (5×5, 2×2), 2 layers + FC, Dropout, Flatten; Adam optimizer used.",Not specified,Tested on two datasets (CWRU and Paderborn); cross-dataset evaluation conducted.,DCGAN+2DCNN more computationally demanding than 1D methods; scalable to larger/uneven datasets shown; high-resolution not discussed.,Adam optimizer for CNN and GAN training (learning rate 0.001 for CNN).,"BN, Dropout, LeakyReLU, data augmentation, horizontal/vertical flip; steady training curves in balanced data; instability and overfitting in highly uneven data mitigated by GAN augmentation.",Features learned on 2-D CWT time–frequency images enhance fault signature extraction; Fault diversity and class manifolds visualized/confirmed (t-SNE plots); wavelet features explicitly extracted for CNN input.,,,,,,,,,,,,,
FNContra: Frequency-domain Negative Sample Mining in Contrastive Learning for limited-data image generation,"2024, Yang et al.",Limited-data image generation,"AnimalFace Dog, AnimalFace Cat, 100-shot Panda, 100-shot Obama, 100-shot Grumpy-cat (256×256); AnimeFace, Art Paintings, Moongate, Fauvism still life (512×512); Skulls, Shells (1024×1024)",FastGAN-based with modifications (FNContra),"Haar wavelet transform at multiple levels (1-5), applied in negative sample mining via DWT/IDWT and high-frequency focus in generator and discriminator","Best FID on 10/11 datasets; e.g. FID: 48.35 (Dog), 30.74 (Cat), 8.74 (Panda), 33.48 (Obama), 24.60 (Grumpy-cat), 104.67 (Moongate), 123.10 (Shells); KID and LPIPS also reported, with improvements of up to 29.24 FID (Shells) over baseline","Achieves high-quality, realistic image generation with limited data, synthesizing fine high-frequency details and outperforming state-of-the-art across most benchmarks.","Frequency-domain negative sample mining in contrastive learning; introduces DWCL and GWCL, dynamic weighting via feature similarity, and applies multi-level wavelet transforms to construct effective negative samples for limited-data GANs.","Demonstrated stable training, better GAN equilibrium and overfitting mitigation on diverse datasets and resolutions; robust across multiple domains; ablation and cross-model compatibility with attention-based MoCA.","Not suitable for smooth animation datasets (e.g., Pokemon); limited performance gain from ultra-hard negative samples; less improvement on highly complex data; frequency-domain negatives less effective when high-frequency components are sparse; future work needed on adaptation to more varied data and tasks.","Adversarial loss, frequency adversarial loss (on high-frequency DWT components), reconstruction loss (self-supervised discriminator), DWCL loss, GWCL loss; uses dynamic weighting for contrastive losses.",Supervised training regime with extensive ablations and cross-dataset trials; no pretraining or transfer learning involved.,"Baseline: FastGAN; compared to StyleGAN2, ADA, APA, DiffAugment, FreGAN, ProtoGAN, MoCA; utilizes an approach compatible with different GAN regularization methods.",Discriminator: enhanced with wavelet-instance contrastive learning projector; Generator: FastGAN backbone; high-frequency discriminator (adopted from FreGAN); projectors map features to 128 or 256 dimensions.,Wavelet DWT/IDWT operations applied to input images and features for negative sample creation and as part of discriminator focus; wavelet-based losses computed at multiple decomposition levels in both generator and discriminator (see Fig. 2 & 3 in the paper).,"Comprehensive; compared to baselines and state-of-the-art (FastGAN, FreGAN, ProtoGAN, MoCA, lecam, etc.); ablation on DWCL, GWCL, negative sample sets, weighting, and wavelet transform levels, with performance improvements specified.","256×256, 512×512, 1024×1024","Baselines: FastGAN, FreGAN, ProtoGAN, MoCA, lecam; also compared against StyleGAN2, ADA, APA, DiffAugment.","Conv-BN-ReLU stacks, skip-layer channel-wise excitation modules (FastGAN), attention (in MoCA ablation), wavelet DWT/IDWT layers, small decoder for self-supervised discriminator, high-frequency branch in discriminator, projectors for contrastive embeddings.",https://github.com/YQX1996/FNContra,Yes; tested across eleven datasets; demonstrated model generalization across domains and resolutions; compatibility tested with MoCA and other methods.,Small computational cost increase over FastGAN (see Table 1); network stays compact (43M vs. FastGAN 41M params/ FreGAN 159M); scalable up to 1024×1024 resolution with reasonable efficiency.,"Adam optimizer with learning rate 0.0002 for generator and discriminator; batch size 8; 100,000 iterations per experiment.","Dynamic weighting (momentum m=0.99), training is stable even with limited data; model shows improved GAN equilibrium and robust convergence; regularization by wavelet-based contrastive losses; projectors normalize feature vectors.",Contrastive representation of multi-level frequency components; focuses discriminator and generator on high-frequency features via wavelet prototypes and negative mining; dynamic loss weights based on feature similarity; visual T-SNE ablation on learned feature separation.,,,,,,,,,,,,,
Frequency-Aware Axial-ShiftedNet in Generative Adversarial Networks for Visible-to-Infrared Image Translation,"2024, Lin et al.",Visible-to-infrared image translation,"KAIST Multispectral Pedestrian Detection Benchmark, VEDAI","Freq-ShiftedNet (ResNet backbone with Axial-Shifted blocks), compared to Unet, ResNet, InfraGAN","Haar wavelet transform; low-frequency features channeled to encoder, high-frequency features to decoder; applied both in generator and discriminator","On KAIST: SSIM = 0.825 (+5.4% vs InfraGAN), LPIPS = 0.228 (-41.3%); On VEDAI: SSIM = 0.938 (+6.6% vs InfraGAN)","Outperforms InfraGAN and Unet on SSIM and LPIPS; better preserves structural details, object integrity, and high-frequency features in real-world day & night scenes","Proposes Freq-ShiftedNet with frequency-aware Axial-Shifted blocks, integrates Haar wavelet features into GAN pipeline for both generator and discriminator, and introduces advanced multi-component loss","Demonstrates model stability across two datasets; Ablations show robustness to architecture, loss, and wavelet placement; achieves consistent improvements in diverse visual scenarios, including day/night and urban/campus scenes",Higher computational cost (181.26 GFLOPs) than InfraGAN/Unet; Slightly increased LPIPS on VEDAI; limitation to paired datasets; scalability to extremely large or unpaired domains remains for future work,"Adversarial loss (conditional GAN), SSIM loss, LPIPS loss (AlexNet-based), Multi-PatchNCE loss (VGG-based), Sobel loss, Gaussian Pyramid loss; weighted sum","Supervised training using paired data; extensive data augmentation (random rotation, flipping, brightness)",cGAN,"Projection discriminator (modified Projection GAN with wavelet feature fusion), Generator: ResNet-based with Axial-Shifted blocks and wavelet encoder-decoder","Wavelet: applied to both generator and discriminator; encoder receives low-frequency, decoder gets high-frequency components; discriminator receives wavelet-decomposed features alongside images","Compares to InfraGAN, Unet, ResNet, and ablation variants; achieves best SSIM/LPIPS with Freq-ShiftedNet + Wavelet Projection discriminator; full ablations for wavelet, loss terms, and discriminator types","Input size: 512x512 (generator accepts 512x512x3, outputs 512x512x1); KAIST images: 640x512, VEDAI images: Not explicitly specified (standard VEDAI sizes implied)","Baselines: InfraGAN, Unet, ResNet-based generators, Pix2Pix, CycleGAN (in referenced prior results)","Encoder/decoder blocks (Conv-BN-ReLU or variant), Axial-Shifted blocks (convolution, flatten, shift, multi-layer perceptron, depthwise conv), frequency feature concatenations (residual and direct connections), final Conv + Tanh in decoder",Not specified,Performance shown on both KAIST and VEDAI datasets; some commentary on generalization across day/night but no explicit cross-dataset transfer test reported,"Model: 31.01 million params, 181.26 GFLOPs (vs InfraGAN 66.99M/71.62G, Unet 54.41M/72.61G); fewer params, more compute; scalability to higher res not evaluated in the paper","Adam optimizer; learning rate: 0.0002 (constant until 30 epochs, then linear decay to 0 by epoch 100); batch size: 16","Ablations indicate improved stability with new loss and wavelet integration; Gaussian Pyramid and new loss terms address convergence/noise problems typical with strict L1; no instability or collapse observed; regularization by pyramid, perceptual, and multi-patch losses",Explicit modeling and extraction of low/high-frequency features via Haar wavelet; multi-scale perceptual features via VGG/AlexNet in loss terms; frequency-aware design enhances both local detail and global structure retention,,,,,,,,,,,,,
"Fusion of ESRGAN, Adaptive NSCT, and Multi-Attention CNN with Wavelet Transform for Histopathological Image Classification","2024, Mukadam et al.",Histopathological image classification (breast cancer diagnosis),"PatchCamelyon (PCam) dataset (327,680 images)",ESRGAN combined with Multi-Head Attention CNN using Wavelet Transforms (Symlet & Coiflet),Symlet 7 and Coiflet 5 wavelet transforms (4-level decomposition); adaptive nonsubsampled contourlet transform (ANSCT); wavelets fused as input to CNN; pooling via average-pooling after Conv/Attention blocks,"Accuracy: 93.67%, AUC: 94%, Precision: 0.90–0.98, Recall: 0.89–0.98, F1-Score: 0.93–0.94, Specificity: 98.11%, Kappa: 87.89%","Achieved high classification accuracy and robustness on histopathology images, outperforming existing models in both accuracy and AUC; validates wavelet+attention-based features for breast cancer detection","Novel fusion of ESRGAN (super-resolution), Adaptive NSCT, and CNN with parallel multi-head attention and dual wavelet (Symlet & Coiflet) feature extraction for enriched representation and improved classification",Demonstrated high accuracy and robustness; performance stable across multiple wavelet families and on balanced test data; generalization evidence via robust validation accuracy and comparative table against prior models,Noted validation accuracy fluctuations and computational complexity with wavelet decomposition; high resource/training needs; concerns on generalization to datasets beyond PCam/real-world clinical data; interpretability,"Adversarial loss (ESRGAN), generator and discriminator losses, perceptual loss, content loss (MSE), categorical cross-entropy (for classification)",Supervised training on labeled PCam dataset; 80:10:10 train/val/test split,"ESRGAN (for image enhancement: GAN), Multi-Head Attention CNN (for classification)",CNN with multi-head attention layers; U-Net-like skip concatenations; generator: RRDB-based (ESRGAN); discriminator: relative discriminator (ESRGAN),"Wavelet decomposition (Symlet, Coiflet) applied at input and after ESRGAN; feature bands fused before each CNN block; average-pooling after Conv/Attention; pooling precedes flattening and dense layers","Compared with prior state-of-the-art on PCam: Luz et al. (Accuracy: 91.93%, AUC: 97.72%), Lafarge et al. (89.2%), Graham et al. (AUC: 97.5%), Kang et al. (86.92%), Teh et al. (90.47%), Zhang et al. (88.23%, AUC: 91.48%). Proposed method outperformed all in accuracy (93.67%) and achieved competitive AUC (94%)","Input: 96×96 (original), upscaled to 192×192 using ESRGAN","Compare against: Luz et al. (ensemble CNN, color spaces), Lafarge et al. (SE-equivariant CNN), Graham et al. (steerable filter CNN), Kang et al. (self-supervised), Teh et al. (ProxyNCA), Zhang et al. (CapsNet variants)","Layers: Conv2D, BatchNorm, PReLU, Multi-Head Attention, Lambda (wavelet and contourlet transforms), Concatenate, AveragePooling, Flatten, Dense, Dropout; residual blocks in ESRGAN; detailed stack in Table 1",Not specified,No direct cross-dataset generalization reported; generalization discussed as a limitation (model validated only on PCam),Computationally intensive (wavelet + attention + ESRGAN); requires substantial GPU resources (trained on Google P100); model scaling discussed as feasible through modular design,"Adam optimizer (learning rate: 0.01, batch size: 32)","Batch normalization, dropout (10%), PReLU activation; no explicit mention of advanced regularization; stability observed in accuracy curves but with validation fluctuations early on",Learns multi-scale spatial and frequency-domain features via wavelet (Symlet/Coiflet) and ANSCT transforms; multi-head attention enhances spatial relevance; feature concatenation yields enriched representations,,,,,,,,,,,,,
GAN WITH ASPP FOR SAR IMAGE TO OPTICAL IMAGE CONVERSION,"2022, Shao et al.",SAR-to-optical image conversion,"SEN1-2 dataset (city, desert, farmland, forest); 7649 images total split across four subsets","GAN (with ASPP module, called ASPP-GAN)",Atrous Spatial Pyramid Pooling (ASPP) applied in the encoder before first convolution block to extract multi-scale features,"Forest: PSNR 24.956, SSIM 0.810; Farmland: PSNR 25.315, SSIM 0.836; City: PSNR 26.688, SSIM 0.861; Desert: PSNR 26.241, SSIM 0.838; ~20% improvement over raw GAN except forest (+3%)","ASPP-GAN substantially improves detail and color restoration in SAR-to-optical translation, outperforming baseline GANs on all categories, especially farmland, city, and desert; adds multi-scale feature extraction and achieves notable PSNR/SSIM gains","Introduction of ASPP into GAN generator for multi-resolution feature extraction, enabling improved restoration of both global structure and image detail in SAR-to-optical tasks","Performance demonstrated across multiple land categories; model shows improved accuracy and detail restoration compared to raw GAN; some cross-type generalization across city, desert, farmland, and forest subsets",Limited GPU memory (batch size 4); future work involves trying additional feature extraction methods and deeper understanding of ASPP's effect; ASPP improves less on forest than on other categories; code availability is not mentioned,"L2 (per-pixel) loss and adversarial loss, combined in total loss function with weighting parameters","Supervised, with paired SAR-optical training examples",Not specified,"Generator: encoder (with ASPP), residual modules for modality conversion, 6 deconvolution modules for decoding; Discriminator: CNN with three Conv-BN-LeakyReLU blocks","ASPP (atrous spatial pyramid pooling) located at the start of generator encoder, before first convolution block",Compared against standard GAN (raw); ablation study on ASPP's contribution to PSNR/SSIM,3×256×256,GAN (raw); references to VGG19-loss GAN [2] and supervised CycleGAN [3],"Generator: ASPP, convolutional layers, residual modules, deconvolutions; Discriminator: Conv-BN-LeakyReLU stacks",Not specified,Evaluated within SEN1-2 subsets but not explicitly on external datasets; cross-category within SEN1-2 only,Batch size limited by GPU memory (set at 4); ASPP increases complexity modestly; scalability to larger batches/resolutions not discussed,Adam optimizer (learning rate 0.00005),"Training dynamics stable after tuning dilated convolution rates (3, 5, 9 for ASPP); 500 epochs; regularization not explicitly mentioned",ASPP enables extraction of multi-scale features including both global (structure) and fine (detail) representations from SAR images,,,,,,,,,,,,,
High-turbidity underwater active single-pixel imaging based on generative adversarial networks with double Attention U-Net under low sampling rate,"2023, Feng et al.","Underwater imaging, single-pixel imaging under high turbidity and low sampling rates","GTSRB German traffic sign dataset (7700 images train/1000 test), EMNIST handwritten dataset (12,000 images), custom images (e.g., 'smiley face', 'ZS', 'exclamation mark'); physical water tank with varying turbidity (43–128 NTU)","UASPI-DAUGAN (double Attention U-Net generator, Path-GAN discriminator); EGAN, U-Net, CSSPI (for comparison)",Atrous Spatial Pyramid Pooling (ASPP) between encoder and decoder for multi-scale feature extraction; Max pooling (2x2) in encoder; cSE (concurrent spatial and channel 'squeeze & excitation' blocks) in encoder and decoder,"PSNR (e.g., 23.9 dB at 19.14% sampling/20 dB at 3.52% in simulation, 15.46% higher than U-Net at 3.52% sampling at 128NTU in experiment), SSIM (e.g., 0.95 at 19.14%/0.91 at 3.52% in simulation, up to 21.97% higher than U-Net at 3.52%/128NTU); values reported across turbulence (SNR and NTU levels) and methods",Reconstructs high-fidelity underwater target images at 3.52% sampling rate in 128NTU turbidity; outperforms baseline methods in PSNR and SSIM under low-sampling and high-turbidity; maintains generalization to unseen targets and datasets,"Proposes a GAN with double Attention U-Net generator, double skip connections, ASPP and cSE modules for multi-scale and redundancy removal, and MSSIM+L1+LSGAN loss for robust underwater SPI at low sampling rates; validates both in simulation and experiments under challenging conditions","Demonstrates strong reconstruction ability and generalization to unseen data (EMNIST, novel experimental targets); ablation studies and cross-dataset results indicate stable performance in different noise/turbidity levels and dataset switches",Generator architecture is complex and increases training time compared to simpler EGAN; explicit code not provided; training set for physical experiments not made public; possible future work to simplify network and system,"Least squares adversarial loss (LSGAN), L1 content loss, mean structural similarity (MSSIM) loss; combined in weighted joint objective",Supervised (paired 1D measurement vectors and ground truth images),"LSGAN (Least Squares GAN), cGAN used in methodology or for comparison","Generator: double Attention U-Net with ASPP and cSE, double skip connections; Discriminator: PatchGAN (Path-GAN structure with 5 conv + BN + LeakyReLU blocks)","Max pooling in encoder; Atrous Spatial Pyramid Pooling (ASPP) between encoder and decoder; cSE in encoder/decoder; skip connections at multiple levels, including across U-Nets","Compared to CSSPI, U-Net, EGAN, and internal ablations (w/o ASPP, cSE, MSSIM); UASPI-DAUGAN achieves highest PSNR/SSIM values, especially under strong scattering/low sampling. Ablations show degradation when omitting ASPP/cSE/MSSIM",32×32 images (both input signal and output images); Hadamard patterns also 32×32; DMD loaded with 1024×1024 micromirror units for 32×32 effective pixels,"Baseline: CSSPI (with TVAL3 optimization), U-Net, EGAN (GAN with U-Net generator), and several ablations (UASPI-DAUGAN w/o ASPP/cSE/MSSIM)","Conv-BN-ReLU stacks; double Attention U-Nets (each encoder: 4 downsamplers; decoder: 4 upsamplers; ASPP; cSE blocks); skip connections (intra/inter U-Nets); Discriminator: 5 conv modules (with BN, LeakyReLU)",Not specified,"Tested on EMNIST and unseen 'exclamation mark' images, as well as novel experimental targets (e.g., double-character 'ZS'), indicating good cross-dataset generalization",Generator complexity higher than EGAN; longer training time; scalability to higher resolutions not discussed; network could be streamlined in future work,Adam optimizer (learning rate 0.0002),"Training stable with LSGAN loss, joint losses (L1, MSSIM, least squares) to avoid gradient disappearance/crash; BN for normalization in all conv modules",Wavelet and frequency-domain features not explicit; ASPP for multi-scale features; cSE and Attention U-Net for spatial/channel salient features; 1D measurement vector input mapped to image features,,,,,,,,,,,,,
Image color rendering based on frequency channel attention GAN,"2024, Li et al.",Image color rendering,"DIV2K, COCO",GAN with U-Net backbone,Frequency channel attention mechanism utilizing DCT-based frequency pooling; replaces/integrates with global average pooling in attention,"On COCO, PSNR increased by 2.660 (vs. pix2pix), 2.595 (vs. CycleGAN), 1.430 (vs. HCEGAN); SSIM up 7.943%, 6.790%, 2.436%; Specifics: e.g., PSNR/SSIM on Fish: 20.409/84.187; Dog: 24.384/89.858","Improved rendering effect and quality, clearer details, enhanced model stability especially in complex scenes","Proposed a frequency channel attention mechanism generalizing channel attention from global average pooling to DCT-derived frequency features, improving feature representation while reducing complexity",Robustness shown by consistent improvements across COCO and DIV2K datasets; demonstrated effectiveness in complex scenes,Adding more DCT layers increases complexity without guaranteed further gains; no explicit discussion of other shortcomings,Adversarial loss plus λL1 loss (λ=100),Supervised training,cGAN (conditional GAN),"U-Net-based generator, PatchGAN discriminator (70x70), generator uses skip connections and frequency attention","Frequency/channel attention applied in generator, leveraging DCT frequency components in the attention blocks","Compared to pix2pix, CycleGAN, HCEGAN; outperformed all on PSNR and SSIM; ablation on frequency components (GAP vs. DCT variants)",256×256,"pix2pix, CycleGAN, HCEGAN",Conv-Regularity-LeakyReLU stacks in discriminator; U-Net with skip connections and frequency attention in generator,Not specified,Tested on DIV2K and COCO datasets; demonstrates cross-dataset validity,"Model output improves or saturates with more DCT layers, but computation and complexity increase; Ours(2) is chosen for balance of performance and efficiency; lightweight feature","Adam (β1=0.5, β2=0.999, lr=0.0002)","Adversarial loss combined with L1 for stable training; simple patch-based discriminator; L1 loss as regularization, frequency attention for improved convergence",Learned channel features in frequency domain (DCT spectrum) improve feature expressivity and rendering accuracy over GAP-based attention,,,,,,,,,,,,,
Image Reconstruction for Rain Removal in Both Wavelet and Spatial Frequency Sub-bands Using W-CycleGANs,"2023, Tang et al.",Rain removal from images (single image rain removal),700 pairs of synthetically generated rain/no-rain images for training; five categories of real rain images for testing (as in [4]),W-CycleGAN (CycleGAN backbone in two stages),"Haar wavelet transform: 1-level DWT on V-channel of HSV in first stage CycleGAN, with IDWT for reconstruction; applied for high-frequency sub-band processing","NIQE (Natural Image Quality Evaluator): W-CycleGAN achieves lower NIQE values than CycleGAN across five categories (exact values in Fig. 14.10, but lowest among compared approaches, showing better performance)",Superior real rain removal performance with preservation of scene details; effective removal at both high and low frequency bands in five categories of challenging rain phenomena,"Introduction of a two-stage CycleGAN framework (W-CycleGANs) for deraining, with Stage 1 in wavelet domain (frequency sub-bands) and Stage 2 in spatial-frequency; employs wavelet decomposition on luminance channel and tailored gamma correction",Demonstrated robust performance across five diverse rain scenarios; model generalizes to real rain images after training on synthetic pairs; two-stage design preserves details and effectively removes both high/low frequency rain distortions,"Further correction (e.g., brightness adjustment) needed to improve image reconstruction; no paired real rain/no-rain images exist—testing relies on qualitative and NIQE metrics; detailed optimal gamma parameter tuning not exhaustively discussed; extension to video suggested as future work","Adversarial GAN loss and cycle-consistency loss (weighted sum, as in Eq. 14.1)","Unsupervised (unpaired image-to-image translation, CycleGAN paradigm); both stages trained simultaneously (end-to-end)",CycleGAN (two-stage architecture); not conditional,"2 generators and 2 discriminators per CycleGAN; specific architecture not exhaustively detailed, but as in CycleGAN (likely PatchGAN)","Wavelet DWT in first stage encoder on luminance/V channel; IDWT after first stage output, before second-stage CycleGAN; gamma correction after first stage and before second stage on LL sub-band and S channel",Yes; both qualitative and quantitative (NIQE) comparisons with baseline CycleGAN; W-CycleGAN outperforms CycleGAN in all tested scenarios,"Not explicitly stated; input images downsampled after wavelet/DWT, but base data is typical image sizes (likely 256×256 or similar)","Baseline CycleGAN and ID-CGAN; comparison made to CycleGAN, as in [4]","Not fully detailed; follows CycleGAN backbone, likely Conv-BN-ReLU stacks in both generator/discriminator, two-stage (one per frequency/spatial domain)",Not specified,Method tested on five real rain categories after training on synthetic data; supports some cross-domain generalization but not explicitly tested with unrelated datasets,"Discussion on computational practicality (no need for paired images); scalability not explicitly analyzed; run on a single GTX-1070 GPU, training for 200 epochs","Adam optimizer (implied by CycleGAN paradigm and PyTorch context, but not textually confirmed)",Demonstrated training stability with two loss functions; high model performance after 200 epochs; use of regularization via cycle-consistency loss; convergence implied by superior NIQE/qualitative results,Emphasizes capture and removal of rain artifacts by processing image features in orthogonal (LH/HL/HH) wavelet sub-bands on luminance; preservation of scene details attributed to localized frequency-domain operations and two-stage design,,,,,,,,,,,,,
Improved Scalp Swarm Optimization with Generative Adversarial Network for Recognition of Motor Imagery EEG,"2024, Stephen et al.",Motor imagery EEG recognition (brain-computer interface),"BCI Competition III dataset III(a), BCI Competition III dataset IV(a)","CGAN (Conditional GAN); compared with CNN (AlexNet, ResNet)",Discrete Wavelet Transform (DWT) used after EMD for feature extraction; DWT applied to average IMF signals from selected EEG channels in feature extraction pipeline,CGAN multiclass accuracy: 89.11%; CNN (AlexNet) multiclass accuracy: 81.61%; CGAN (2-class) up to 95.29%; existing SOTA: 85-90%,Model achieved state-of-the-art accuracy for both binary and multi-class MI-EEG classification; optimization (SSO) further improved accuracy and computational time,Introduced combination of Scalp Swarm Optimization (SSO) with CGAN for MI-EEG feature extraction and classification; DWT for enhanced signal extraction; novel optimization pipeline,Results show good generalization within tested subjects and datasets; includes ablation and comparative studies with various optimizers; explicit discussion of stability and loss convergence,Model robustness degrades in multiclass without optimizer; generalization limited to dataset population; limitations in interpretability and applicability to non-target populations; future work on generalization and cross-domain security recommended,"Adversarial loss (binary cross-entropy), CGAN objective; loss functions defined for generator and discriminator; no explicit mention of additional L1/perceptual losses","Supervised learning with optimizer-improved parameter tuning; 70% training / 30% test split; ablation with different optimization strategies including SSO, PSO, ACO, Whale","cGAN (conditional GAN), compared to DCGAN, standard GAN; baseline GANs employed for comparison","Generator and discriminator: both sequential, four-layer fully connected MLPs with LeakyReLU, BatchNorm and Dropout; no pooling layers in CNNs; GAN generator input 8×8×256, output 32×32×n",Wavelet (DWT) used after EMD on averaged channel signals; pooling layers removed from CNN-based GAN variants; DWT explicitly for signal extraction after feature aggregation,"Comprehensive ablation: SSO-optimized CGAN vs. baseline CGAN, CNN (AlexNet/ResNet) and optimizers (PSO, ACO, Whale); CGAN/SSO outperforms all with accuracy gains 4–10%","EEG trials converted to 32×32 matrices for input; exact input size 32×32; CNN (AlexNet) used 128×128 for some tests, ResNet 32×32×1","SVM, ANN, CNN (AlexNet, ResNet), standard GANs; published accuracy numbers and comparisons in Table 10",CGAN/SSO: sequential Dense (FC)–LeakyReLU–BatchNorm–Dropout stacks; generator: 256→512→1024 units; discriminator: 1024→512→256 units; no convolutional/pooling layers in GAN; CNNs: standard Conv-BN-ReLU stacks,Not specified,No explicit cross-dataset generalization; only intra-dataset (training/test split) results; future work suggested on generalization,SSO is efficient and reduces computational time; method scalable to more subjects in same datasets; no discussion of very large datasets or high-res signals,Adam optimizer for GAN (explicit mention in GAN pseudocode); CNNs trained with SGDM (stochastic gradient descent with momentum),Explicit monitoring of generator and discriminator loss over 1000 iterations; batch normalization for regularization; training equilibrium observed after 250 steps,DWT and EMD enable extraction of discriminative time-frequency IMF and subband features; feature learning compared across methods; SSO optimizes extracted feature quality,,,,,,,,,,,,,
Intelligent System for Stability Assessment of Chest X-Ray Segmentation Using Generative Adversarial Network Model with Wavelet Transforms,"2024, El Mansouri et al.",Medical imaging – chest X-ray segmentation,Shenzhen Hospital (SH) dataset; COVID-19 Chest X-ray images and Lung masks Database,GAN with U-Net-based generator and ConvNet-based discriminator,"Discrete Wavelet Transform (DWT); applied in generator and discriminator, replacing pooling/upsampling layers","SH: Dice = 0.9685, COVID-19: Dice = 0.9906 (with no noise); GAN with DWT maintains high Dice at multiple noise ε (e.g., Dice 0.9635 at ε=0.2); IoU and Accuracy also used (exact values not specified)","Model outperforms traditional GAN in stability, accuracy, and efficiency for chest X-ray segmentation tasks; robustness to input noise demonstrated","Integration of wavelet transforms into GAN segmentation architecture to replace pooling/upsampling, leading to improved stability and robustness against noise",Evidence: Stable performance under increasing noise levels (GAN with DWT remains robust; traditional GAN performance collapses); tested on perturbed and original images; improvement shown in both datasets,"Limitations: Not specified explicitly, but mentions computational requirements, need for large annotated data, and does not test all possible imaging modalities","Adversarial loss; segmentation loss (likely Dice or Binary Cross-Entropy, exact not specified)",Supervised training,cGAN (conditional GAN),U-Net-based generator (with DWT layers); ConvNet discriminator (with DWT layers),DWT replaces max pooling and upsampling in both generator and discriminator (multi-scale edge features retained),"Compared with traditional GAN; GAN with DWT outperforms in accuracy, Dice coefficient, and stability under noise (Dice drop-off for traditional GAN at ε ≥ 0.1, stable for GAN with DWT)",512×512,Traditional GAN models without wavelet integration,"Encoder/decoder with Conv-BN-ReLU stacks in U-Net form; 5 layers each in encoder/decoder; DWT used to reduce downsampling loss, preserve edges; Discriminator: 5 layers, hidden and dropout layers, batch norm, max pooling replaced by DWT",Not specified,"Tested on two independent CXR datasets (SH, COVID-19 CXR); no external test sets beyond these","Discussed: DWT reduces computational loss via data preservation in downsampling; implementation on GPU P100; 200 epochs, batch size 3, handles large resolution images; scalability to more datasets implied but not tested","Adam optimizer; learning rate 0.0003, decay 0.5",Training stable for model with DWT; model robustness evidenced by stable Dice under noise; use of batch norm and dropout layers,Model learns multi-scale edge features via wavelet transform; wavelet features used as input to improve segmentation stability and accuracy,,,,,,,,,,,,,
